policy,seed,world,gicp_ratio_floor,markers_placed,final_drift_m,final_along_m,final_lateral_m,final_rot_rad,max_drift_m,drift_per_100m,path_length_m,landmark_steps
none,0,mixed,0.0018807423499072554,0,1.0334257371777462,0.5494827650652813,0.875235651214926,0.005945740535319431,1.0334257371777462,0.3444752457259154,300.0,0
none,1,mixed,0.0018807423499072554,0,0.7842921561003854,0.17867734236555433,0.7636678554487983,0.0187795039407164,0.7847600877121645,0.26143071870012846,300.0,0
none,2,mixed,0.0018807423499072554,0,2.5517535195212555,0.5880580851517291,2.4830694136243565,0.015517485582172794,2.5517535195212555,0.8505845065070852,300.0,0
none,3,mixed,0.0018807423499072554,0,5.900178413646684,5.3049065949845815,2.582648123796868,0.0583546659817223,5.900178413646684,1.9667261378822283,300.0,0
none,4,mixed,0.0018807423499072554,0,3.7636651671746075,3.480002287350533,1.433443256860364,0.010410425552331716,3.801901797463373,1.254555055724869,300.0,0
none,5,mixed,0.0018807423499072554,0,3.5980768815025206,3.0908091964516085,1.8420249065452217,0.02350131300114544,3.5980768815025206,1.1993589605008401,300.0,0
none,6,mixed,0.0018807423499072554,0,3.8057849173855693,3.5620765974546225,1.340003414646989,0.03516554092061417,3.8361193294463147,1.2685949724618564,300.0,0
none,7,mixed,0.0018807423499072554,0,1.1373315160895623,0.44222270361538385,1.0478368469841366,0.014141034106800085,1.1389874546701337,0.37911050536318747,300.0,0
uniform_15m,0,mixed,0.0018807423499072554,20,2.183837688522663,2.091121278022213,0.6295703697085232,0.005263650498381142,2.183837688522663,0.727945896174221,300.0,201
uniform_15m,1,mixed,0.0018807423499072554,20,1.7053611949009941,1.2195450767849199,1.1920430406507763,0.020395996843675858,1.7062769695208104,0.5684537316336647,300.0,209
uniform_15m,2,mixed,0.0018807423499072554,20,1.0287128955640306,0.346699033248793,0.9685298146387018,0.017104625096582744,1.0287128955640306,0.3429042985213435,300.0,203
uniform_15m,3,mixed,0.0018807423499072554,20,2.384150278476089,1.4025848331962614,1.927933695967109,0.06315074635299596,3.2548717367642683,0.7947167594920296,300.0,205
uniform_15m,4,mixed,0.0018807423499072554,20,4.355912835132152,4.213742122939653,1.1037907177689772,0.011916693523358089,4.384484808103808,1.4519709450440508,300.0,205
uniform_15m,5,mixed,0.0018807423499072554,20,3.7384263349539033,3.242887011996278,1.8599772281676705,0.02829278848041335,3.738620882743155,1.246142111651301,300.0,207
uniform_15m,6,mixed,0.0018807423499072554,20,2.2750648006488414,1.9452630891668243,1.1797759791911835,0.036761503239016204,2.302386415771607,0.7583549335496138,300.0,202
uniform_15m,7,mixed,0.0018807423499072554,20,2.2245851857342553,1.5542746509071335,1.591543137378258,0.010651291594350179,2.2245851857342553,0.7415283952447518,300.0,207
uniform_8m,0,mixed,0.0018807423499072554,36,1.825183084391011,1.756673956630446,0.49536845039167515,0.008176146816628182,1.9041236792385123,0.6083943614636703,300.0,368
uniform_8m,1,mixed,0.0018807423499072554,36,1.8425545358256021,1.6891828590473015,0.7359813083172762,0.01846304863328335,2.156515820437617,0.6141848452752008,300.0,381
uniform_8m,2,mixed,0.0018807423499072554,36,1.1928567186159642,0.526263136594305,1.0704925325331194,0.020312966333383493,1.1928567186159642,0.3976189062053214,300.0,375
uniform_8m,3,mixed,0.0018807423499072554,37,2.258970385938506,0.2390335145493068,2.2462880900430755,0.06511500891373315,2.258970385938506,0.7529901286461688,300.0,394
uniform_8m,4,mixed,0.0018807423499072554,36,3.172755359173069,3.019984877155466,0.9726602237747914,0.009048086283999675,3.2122999402793244,1.0575851197243564,300.0,359
uniform_8m,5,mixed,0.0018807423499072554,36,3.201282571244373,2.614119517133499,1.847860722861582,0.02911277741112533,3.2218866404221687,1.067094190414791,300.0,369
uniform_8m,6,mixed,0.0018807423499072554,37,0.8581064995431872,0.17514583759054736,0.8400420823583572,0.03980373581022723,0.9735296574846285,0.2860354998477291,300.0,371
uniform_8m,7,mixed,0.0018807423499072554,36,2.2032120580457795,1.6791039381642603,1.4264478040081379,0.007605598583787689,2.2922921018304,0.7344040193485931,300.0,371
on_failure,0,mixed,0.0018807423499072554,62,2.800712237280741,2.760961480603173,0.47019223587774556,0.0061642718920502625,2.8495347138550935,0.9335707457602471,300.0,620
on_failure,1,mixed,0.0018807423499072554,37,1.8913413198856137,1.616871749415501,0.9812735267236631,0.02252366064301447,2.1084953842200727,0.6304471066285379,300.0,381
on_failure,2,mixed,0.0018807423499072554,48,2.635445372111764,1.762672619205912,1.959223710270775,0.02985601279617685,2.635445372111764,0.8784817907039212,300.0,479
on_failure,3,mixed,0.0018807423499072554,29,2.12053365227706,0.46732658321146103,2.0683976491630913,0.06888893945086916,2.12053365227706,0.70684455075902,300.0,297
on_failure,4,mixed,0.0018807423499072554,53,3.951429161464771,3.8231876915669365,0.9985130410391283,0.02171440293064882,3.982128267923274,1.3171430538215902,300.0,542
on_failure,5,mixed,0.0018807423499072554,39,3.4637318835037663,3.135948422113174,1.4708045603159965,0.035040768825354014,3.4648648773205926,1.1545772945012553,300.0,394
on_failure,6,mixed,0.0018807423499072554,54,1.0786634993313833,0.6418386367586755,0.8669245117964552,0.032430624018565044,1.855274394853385,0.3595544997771277,300.0,537
on_failure,7,mixed,0.0018807423499072554,23,2.687136417778762,2.1815725327835347,1.5688987895837179,0.013058552522286052,2.7189067878655746,0.8957121392595874,300.0,238
scheduler,0,mixed,0.0018807423499072554,56,3.2148382583433737,3.1876814456007496,0.41697965020021044,0.004151780565735301,3.243054390449719,1.0716127527811246,300.0,560
scheduler,1,mixed,0.0018807423499072554,53,4.496657785046795,4.313413663313055,1.2705879760828522,0.014905134962423135,4.814002198215082,1.4988859283489315,300.0,543
scheduler,2,mixed,0.0018807423499072554,53,2.968935246104686,2.3575046297908577,1.8046463409979634,0.01363480796870489,2.9696888070218423,0.9896450820348953,300.0,530
scheduler,3,mixed,0.0018807423499072554,21,6.154575301360621,5.785265069713266,2.0998821903320652,0.053224201912204956,6.176517074042853,2.0515251004535404,300.0,210
scheduler,4,mixed,0.0018807423499072554,43,2.844354833731911,2.5989894796526176,1.1556851235648204,0.004557891846546126,2.865064609524693,0.9481182779106371,300.0,433
scheduler,5,mixed,0.0018807423499072554,43,2.8161374370674754,2.242989143941119,1.7028299282709174,0.026418748914391152,2.81721364549979,0.9387124790224918,300.0,434
scheduler,6,mixed,0.0018807423499072554,48,1.2200469743578228,0.9602404814703918,0.7526306115121566,0.03875145084567669,1.2266951549592597,0.4066823247859409,300.0,484
scheduler,7,mixed,0.0018807423499072554,41,3.096525157966673,2.996334942927445,0.7813097744893427,0.01423996601267637,3.265846470392489,1.0321750526555575,300.0,417
oracle_12,0,mixed,0.0018807423499072554,12,3.4397042636510737,3.413865977475082,0.4208141029216472,0.0028685683521481025,3.4511016520110434,1.1465680878836912,300.0,122
oracle_12,1,mixed,0.0018807423499072554,12,2.5493704289991075,2.359120636250173,0.9663536660424584,0.01907834059522205,2.9779190423470303,0.8497901429997025,300.0,121
oracle_12,2,mixed,0.0018807423499072554,12,2.113725454711444,0.16726924897984086,2.107096650901615,0.011908579562882694,2.113725454711444,0.7045751515704813,300.0,120
oracle_12,3,mixed,0.0018807423499072554,12,2.7686865954249607,1.5806592117253968,2.2731348222385592,0.05138368312932909,2.7686865954249607,0.9228955318083202,300.0,122
oracle_12,4,mixed,0.0018807423499072554,12,3.061241885548736,2.7853749953053333,1.2699952824186884,0.008027948349503182,3.0830003742731296,1.0204139618495787,300.0,120
oracle_12,5,mixed,0.0018807423499072554,12,3.9108903887066906,3.4610257049005173,1.8210888782527421,0.034562545865088064,3.9110340455341115,1.303630129568897,300.0,120
oracle_12,6,mixed,0.0018807423499072554,12,3.4157441987647554,3.2919647303408563,0.9111951742559486,0.03361326658755479,3.449009601751696,1.1385813995882517,300.0,120
oracle_12,7,mixed,0.0018807423499072554,12,1.8241153051889383,1.5107420217222296,1.0222794091769984,0.016101500073374193,1.8377319524617224,0.6080384350629795,300.0,121
oracle_24,0,mixed,0.0018807423499072554,24,0.922055492438089,0.7733748208293025,0.502073418577978,0.007774754295869958,0.922055492438089,0.30735183081269635,300.0,242
oracle_24,1,mixed,0.0018807423499072554,24,1.8571495156121802,1.5436920287772957,1.0324820790832292,0.022122531140216135,2.3536771752570824,0.6190498385373934,300.0,246
oracle_24,2,mixed,0.0018807423499072554,24,2.1878143946881092,0.9706523311771399,1.9607054540610676,0.013147952834108582,2.1878143946881092,0.7292714648960364,300.0,241
oracle_24,3,mixed,0.0018807423499072554,24,2.931019536346503,1.8372319842034301,2.283736884727498,0.06432189835874755,2.931019536346503,0.9770065121155009,300.0,249
oracle_24,4,mixed,0.0018807423499072554,24,3.27782979713813,3.159572394840275,0.8725081436696905,0.005050434014271765,3.372873498857238,1.0926099323793768,300.0,243
oracle_24,5,mixed,0.0018807423499072554,24,3.0259529604241306,2.564447946014179,1.6062372336872248,0.0292536553541216,3.0270683636243967,1.0086509868080435,300.0,242
oracle_24,6,mixed,0.0018807423499072554,24,1.6648989159895873,1.4919490158789035,0.7389022496118369,0.03712022006459511,1.7034568910076977,0.5549663053298625,300.0,244
oracle_24,7,mixed,0.0018807423499072554,24,1.8942065295945278,1.4600120501358378,1.206807022774013,0.011635113934235495,1.9561131407744587,0.6314021765315093,300.0,244
