seed,gt_map,s,along_track_err_m,lateral_err_m,num_inliers,residual,lambda_along_raw,lambda_along_cal,lambda_min_raw,lambda_min_cal,ratio
0,0,0.5,-0.002530452251427784,0.00956861301713681,0,nan,nan,nan,nan,nan,nan
0,0,1.0,0.0008613576781710819,0.004646052854582953,730,23.34813600957048,62239.084695371595,1929965.5142054309,14615.282315417386,453203.81858426763,0.06935670871787994
0,0,1.5,-0.001398458172787942,0.005366557993151491,754,18.72617630134004,57525.7568500983,2297813.789182064,17389.649638581737,694613.6638011001,0.07713028387529104
0,0,2.0,3.563518459204218e-05,0.0051453982830193135,819,20.772761962882047,59272.401704441494,2319790.8237631964,15158.459029016503,593268.5895410216,0.06421925464710537
0,0,2.5,0.0015698270544906023,0.004742890086969421,950,29.76598802517298,60830.414676476285,1929178.7460920308,23090.99038100246,732308.7982576599,0.0923065652912689
0,0,3.0,1.028981607120727e-05,0.0026135647491014806,1021,29.43623451304466,62490.167874860694,2154743.0044041714,26628.45215213116,918183.9790831851,0.09922514583111285
0,0,3.5,-0.0016316360390682405,0.006041317436638915,1028,25.46063104890369,66074.85850521614,2652271.4720866513,34129.77185455299,1369982.808688282,0.12096937636291169
0,0,4.0,-0.0012894728633021657,0.005051155421939355,1105,28.316058631496386,67484.71249914348,2619209.8272484518,40421.75012397081,1568844.8722461313,0.13471228456701506
0,0,4.5,-0.0003492479171471885,0.005458239954512835,1174,26.729344649785205,57939.95952981633,2531819.377448497,43470.62069494936,1899548.4414956977,0.1397533809774501
0,0,5.0,-0.030811797832230425,0.005797004943002178,1047,15.349955149947432,605.9736823116087,41095.79455602156,605.7698990848604,41081.974428407324,0.0018839347509218673
0,0,5.5,-0.03709566529246189,0.006403372385068674,969,11.208190950253883,543.5311773080524,46699.82212747706,542.8146483741738,46638.25845797967,0.0016491358986058416
0,0,6.0,-0.04361206394231498,0.005062113868050967,983,13.324874909214714,561.9855894350984,41205.63417059871,561.2625673740047,41152.62109854352,0.0017514379580550242
0,0,6.5,-0.0478760077578535,0.006815007292239628,1028,13.018373090978287,585.1582650577134,45937.51789948455,585.0891724650905,45932.09382466606,0.0018047046927815633
0,0,7.0,-0.055249014894310555,0.005325283663577423,1055,13.61709976470721,615.8321257309124,47440.93170015908,615.7766051366326,47436.65464378101,0.0019086088784986267
0,0,7.5,-0.07125970420942007,0.005826388155395763,1051,16.43198409139621,618.7088294030672,39347.0881623321,618.1595935342214,39312.15924080007,0.0018934901035853283
0,0,8.0,-0.06533683093911069,0.005083715169151036,997,12.519830112782463,556.06872688125,44015.30239429485,556.026641582499,44011.97115651554,0.0016975509734398098
0,0,8.5,-0.08469818057649725,0.005048062126562086,1038,13.309033866878668,596.271094451979,46235.645324025245,594.9386438118004,46132.32534795347,0.0018073243171392618
0,0,9.0,-0.08268290642148735,0.004655043838738525,986,10.471948108088142,537.0756892755026,50261.34297623874,537.064379800141,50260.284597631435,0.0016277842173122862
0,0,9.5,-0.0911541284013282,0.005462327664541249,999,12.3004303360152,553.1254327950561,44653.19828342077,552.918177620045,44636.46680467051,0.001680921708051323
0,0,10.0,-0.0852159766271825,0.004947078455998332,975,13.40072024014874,533.1883716464064,38554.60921999169,532.8746498452471,38531.92413890085,0.0016566149913932928
0,0,10.5,-0.08756158531946845,0.0033059744147721642,1026,11.7295556860815,585.7850304485814,50939.75825244242,585.7333918449779,50935.26776899315,0.001802895105389607
0,0,11.0,-0.0913722876342149,0.0050987667136838015,994,13.155627548234335,554.4067760149774,41636.47022496572,554.1529253938556,41617.40580460654,0.0017138682840256122
0,0,11.5,-0.07835043031908384,0.003781157062062993,1006,12.188539819954059,559.4343265304051,45898.38773095248,559.2588679998327,45883.99236176435,0.0017329556125634368
0,0,12.0,-0.07927132907177636,0.005478080667599328,1009,13.950412088549362,556.7568355226612,40029.43443424096,556.7342654112152,40027.81169925388,0.0017280062630929776
0,0,12.5,-0.09679338378196078,0.004453114398910105,1049,13.709634915740278,604.2717591275808,45971.71614296302,604.08277832746,45957.33888377724,0.0018871194860262336
0,0,13.0,-0.09549837156047758,0.005314901110328982,1007,12.328279094030153,557.4807361096497,45264.891603239565,557.3957245666162,45257.989053911515,0.0017412662737151107
0,0,13.5,-0.11071315695184936,0.004011005431772024,1064,12.530833103118457,626.877092480829,52928.32155586386,626.8309370136318,52924.4245696146,0.0019464763110482067
0,0,14.0,-0.11429594223961104,0.0043516610278906956,966,12.17971225001051,524.3411105101403,41328.35454214448,524.2600003549209,41321.96147247154,0.0016448741432037299
0,0,14.5,-0.11964971721127071,0.004026022462842333,1006,12.906753293670798,569.1988467580468,44100.85432075083,569.160834483764,44097.90917463872,0.0017973649009038952
0,0,15.0,-0.13596379305560014,0.0048542818528935164,1045,13.364392682347058,596.031497360764,46337.812759410495,595.6036067953144,46304.54687834361,0.001859973518358497
0,0,15.5,-0.14562483084501565,0.004335331588951568,1057,14.068716251741321,634.5225287909374,47401.85002144267,634.0149609376124,47363.93228934124,0.001972597690303006
0,0,16.0,-0.14604774906565865,0.00464083863293223,973,12.660776975124282,532.6723151032952,40684.243132703166,532.6317714901879,40681.14650806854,0.0016492584831947455
0,0,16.5,-0.13947732038252525,0.004834857593702382,1063,12.051277954216213,613.511018634895,53810.15599845234,613.510290017997,53810.092092527666,0.0018959021373326094
0,0,17.0,-0.15402775739929453,0.004793326590810329,983,11.53983388804077,542.681688262343,45945.20290121146,542.6288317144908,45940.72789336017,0.0016687203497476569
0,0,17.5,-0.1693434971219112,0.004898304359681409,1009,15.09639640023735,566.4123851826729,37632.26715014511,565.9642739308346,37602.49477442856,0.0017395661614582668
0,0,18.0,-0.18487749999646752,0.004885288547982295,1035,13.113444138592929,578.5430613809373,45397.74630289174,578.2868313501366,45377.64016609752,0.0017645030646459988
0,0,18.5,-0.17024143637341282,0.004855854887130265,1060,14.578057705355508,621.5592220590007,44939.00581896555,621.4985447037922,44934.6188194295,0.0019091802395630223
0,0,19.0,-0.1777194948469507,0.0037659301273546947,1067,13.663539402229198,632.8866028076924,49144.85667376991,631.6531353356868,49049.07556250203,0.0019351558606548337
0,0,19.5,-0.1691914431015924,0.0034662537112341366,1012,13.952649088284733,576.5142038019061,41567.25259518559,576.3202338556379,41553.267167421225,0.0017811933936774098
0,0,20.0,-0.21282210105904653,0.0031017169287460055,984,10.499326009059077,539.4939856954986,50253.23697492103,539.4687667889164,50250.88786311936,0.0016443537061111965
0,0,20.5,-0.19627717292045688,0.004345731980913535,1056,10.288239595761702,598.5363520810103,61085.5884367195,597.811154559862,61011.57602768508,0.001839172089007695
0,0,21.0,-0.19985635986565597,0.0033670336576541483,988,10.64242632962683,558.3049943566758,51516.025338319625,558.1312805139175,51499.996381359524,0.0017163905817162719
0,0,21.5,-0.19898851146381347,0.0033710871009722952,1036,11.968645537473368,576.8019473485977,49638.5329408355,576.742020916493,49633.37578041375,0.0017908421812257676
0,0,22.0,-0.20852662643545017,0.0037499999186621775,1054,13.728277543946568,611.6127952756597,46689.776441147544,611.6054564031012,46689.21620054805,0.0018806104878566516
0,0,22.5,-0.21850046942392254,0.004388037574398899,978,14.644379598467548,530.2804886427665,35196.61802639329,530.1691466295887,35189.22785762027,0.0016344653184417724
0,0,23.0,-0.22930212935699856,0.003809327371567817,1058,14.669958027768853,625.3232274810632,44842.66649330891,624.7888141964779,44804.34308608992,0.0019352615304436098
0,0,23.5,-0.28045958772783663,0.003445874565444167,1049,12.735608083175492,615.5860350135672,50414.25822198044,615.3239044487232,50392.790681730556,0.0018911155530435752
0,0,24.0,-0.2745712445845889,0.00332011311491919,1061,14.422444259178999,647.6455272648856,47375.189599335594,646.2938626209568,47276.31549909858,0.0020037781700165554
