platform,policy,seed,world,path_length_m,steps,mean_abs_along_m,max_abs_along_m,final_along_m,final_lateral_m,final_total_m,markers,yaw_effort_rad,blind_fraction,glance_fraction,seconds
drone,forward,0,junction,300.0,601,0.1281505363299098,0.2884263698992129,0.19973765206556185,0.15278814685980965,0.2514743475457018,0,0.9979573518462588,0.4707846410684474,nan,48.57992219924927
drone,glance,0,junction,300.0,601,0.7662820091147083,1.2205529467617424,1.0670920392757635,0.5067082301291294,1.181286862183062,0,6.450304163404173,0.44574290484140233,0.14166666666666666,80.95815396308899
drone,forward,1,junction,300.0,601,0.6769168805999365,1.3963442697580954,1.3046809087618834,0.3543424324294304,1.3519433542526051,0,0.6659468756550178,0.4373956594323873,nan,45.963984966278076
drone,glance,1,junction,300.0,601,1.6007937019185186,2.7067815789258134,0.39617193433207126,2.5739849670376582,2.604294686107614,0,8.099652647032752,0.4657762938230384,0.19333333333333333,73.92406797409058
drone,forward,2,junction,300.0,601,0.6153592229139784,0.8335168048112914,0.802646517919468,0.6770937237405293,1.0500939688700073,0,0.5810952691984141,0.41569282136894825,nan,48.347477197647095
drone,glance,2,junction,300.0,601,1.9985908545410753,3.246561237040719,3.208826544129255,0.8283487450445799,3.3140201317622804,0,6.0106946562399255,0.3055091819699499,0.14,77.36947727203369
drone,forward,3,junction,300.0,601,3.5986175963649467,6.188328459376809,6.151367897508261,2.165425104957496,6.521379677313371,0,0.6619497373349881,0.39565943238731216,nan,48.71608519554138
drone,glance,3,junction,300.0,601,2.4824326919311983,5.0147230722379685,4.973347148631138,1.7412127745399015,5.269345669722051,0,6.327087901953597,0.3639398998330551,0.15,78.83307027816772
drone,forward,4,junction,300.0,601,1.4946518621215994,2.676351129104988,2.5356964908489084,0.7566364007177376,2.646177495292903,0,0.6078190508570397,0.6343906510851419,nan,49.77385640144348
drone,glance,4,junction,300.0,601,2.085832638066906,4.082933788480106,1.3688877736039793,3.8909448868658596,4.124718881251168,0,8.739304904325726,0.5626043405676127,0.21333333333333335,83.48634195327759
drone,forward,5,junction,300.0,601,1.2137195140678168,2.3306831022304695,2.272481761484187,0.659190131044656,2.3661582755904567,0,0.6609582140091979,0.4507512520868113,nan,48.35649871826172
drone,glance,5,junction,300.0,601,0.874250330616121,1.9948552436196474,1.617052370410597,1.1683999173425816,1.9949979286948305,0,6.858595490355416,0.4373956594323873,0.16166666666666665,77.78914189338684
drone,forward,6,junction,300.0,601,1.75877405133665,3.166693598520932,3.1060293034162774,1.1715132183017194,3.3196176367672643,0,1.0156433221075274,0.49081803005008345,nan,49.07677102088928
drone,glance,6,junction,300.0,601,1.1033392480814335,2.4700489374798633,2.4479139150101563,0.6803350070052268,2.5406964118243334,0,6.380687588898377,0.4674457429048414,0.14,80.84426927566528
drone,forward,7,junction,300.0,601,0.2713969528939843,0.4207941088258628,0.37122102646316213,0.2530634523014541,0.449272925268255,0,0.42429246603823095,0.44073455759599334,nan,44.86069893836975
drone,glance,7,junction,300.0,601,0.712756035021374,1.7082964587236265,1.6005997843076152,0.7450453930870203,1.7655062467422353,0,7.448235426688661,0.41235392320534225,0.18,65.75166869163513
