platform,registration_range_m,beam_spacing_m,voxel_m,seed,cold_start_peak_m,final_drift_m,path_length_m
ugv,2.9,0.05061454830783556,0.2,0,0.13792715280925028,4.5174088473425655,160.0
ugv,2.9,0.05061454830783556,0.2,1,0.06987973892568584,4.482748142901591,160.0
ugv,2.9,0.05061454830783556,0.2,2,0.45602993270379866,7.807125269426832,160.0
ugv,4.0,0.06981317007977318,0.2,0,0.08960776552001308,1.7054619529192665,160.0
ugv,4.0,0.06981317007977318,0.2,1,0.0441851490766463,2.1398565419654636,160.0
ugv,4.0,0.06981317007977318,0.2,2,0.03986568092188141,3.1632992164498535,160.0
ugv,5.7,0.09948376736367678,0.2,0,0.10775590038764604,1.615251977380831,160.0
ugv,5.7,0.09948376736367678,0.2,1,0.01875524845382454,1.478029673902892,160.0
ugv,5.7,0.09948376736367678,0.2,2,0.0168638530671504,1.144932562960995,160.0
ugv,7.0,0.12217304763960307,0.2,0,0.11078169175417758,2.059865353455868,160.0
ugv,7.0,0.12217304763960307,0.2,1,0.01340338787565525,2.3403353085317424,160.0
ugv,7.0,0.12217304763960307,0.2,2,0.06175494150798552,2.2285817438858135,160.0
ugv,8.5,0.14835298641951802,0.2,0,0.5358970929672183,8.40163516557976,160.0
ugv,8.5,0.14835298641951802,0.2,1,0.055072385249797344,12.657262805641015,160.0
ugv,8.5,0.14835298641951802,0.2,2,1.7777456218125487,14.132711879209847,160.0
drone,8.0,0.06981317007977318,0.2,0,0.12685952122963767,0.4763328365611667,160.0
drone,8.0,0.06981317007977318,0.2,1,0.04978932133795234,0.6948138022432635,160.0
drone,8.0,0.06981317007977318,0.2,2,0.09170565666539998,0.6642961503258945,160.0
drone,10.0,0.08726646259971647,0.2,0,0.11849593320214405,0.3035676737651062,160.0
drone,10.0,0.08726646259971647,0.2,1,0.05362404389280249,0.8284258324549394,160.0
drone,10.0,0.08726646259971647,0.2,2,0.17375006772029974,0.4199359710266461,160.0
drone,11.5,0.10035643198967395,0.2,0,0.09171223805920678,0.35872521577088595,160.0
drone,11.5,0.10035643198967395,0.2,1,0.22537266441337953,0.6299993619310591,160.0
drone,11.5,0.10035643198967395,0.2,2,0.29493523532573923,0.26696098251949857,160.0
drone,15.0,0.1308996938995747,0.2,0,1.7238497599297224,1.1151863494219811,160.0
drone,15.0,0.1308996938995747,0.2,1,0.20422673011153128,0.47454130041370113,160.0
drone,15.0,0.1308996938995747,0.2,2,0.14071250823965523,0.5074795104119065,160.0
drone,21.2,0.18500490071139894,0.2,0,2.4617044969080117,1.325683495748147,160.0
drone,21.2,0.18500490071139894,0.2,1,2.2784430481042732,1.7195170694881459,160.0
drone,21.2,0.18500490071139894,0.2,2,6.452751935533972,4.4712829866124615,160.0
drone,28.5,0.24870941840919197,0.2,0,2.6181410366831623,7.370648654906344,160.0
drone,28.5,0.24870941840919197,0.2,1,2.69421240437097,24.136522609642007,160.0
drone,28.5,0.24870941840919197,0.2,2,7.4159307452880645,11.830225655276253,160.0
