platform,policy,seed,world,path_length_m,steps,mean_abs_along_m,max_abs_along_m,final_along_m,final_lateral_m,final_total_m,markers,yaw_effort_rad,blind_fraction,glance_fraction,seconds
ugv,none,0,mixed,300.0,601,0.11817186776311181,0.27413864599409976,0.14510161811197617,2.929418304804294,2.9330097313342107,0,0.0,0.7362270450751253,nan,34.0264949798584
ugv,scheduler,0,mixed,300.0,601,0.5624363251418741,1.1049268565946986,1.0737250550721111,3.819996530898397,3.9680296105202317,19,0.0,0.7445742904841403,nan,35.2936053276062
ugv,none,1,mixed,300.0,601,0.7626725276020273,2.0854378675915712,1.5329205204219551,2.8688551598667456,3.2527181326123134,0,0.0,0.7078464106844741,nan,32.6778450012207
ugv,scheduler,1,mixed,300.0,601,0.7337219217235851,1.5898345039690758,1.4902794096087095,2.6126402706909264,3.007793527278732,19,0.0,0.7178631051752922,nan,36.3560950756073
ugv,none,2,mixed,300.0,601,0.3801490382811233,0.6254530041719932,0.6080816979875683,3.5130521607156897,3.5652908486316477,0,0.0,0.7128547579298832,nan,33.751829862594604
ugv,scheduler,2,mixed,300.0,601,0.5391930963658685,0.9784596331710418,0.8064915032321865,2.824516011562247,2.9374000824465734,20,0.0,0.7145242070116862,nan,35.425957679748535
ugv,none,3,mixed,300.0,601,4.2191547234295195,7.7372017720560375,7.683501036284696,4.3993107269088725,8.853819686806588,0,0.0,0.6427378964941569,nan,31.404030084609985
ugv,scheduler,3,mixed,300.0,601,1.3696883664391177,2.7107208179652127,2.7107208179652127,4.062864902686816,4.884145633622546,18,0.0,0.676126878130217,nan,32.24022030830383
ugv,none,4,mixed,300.0,601,1.716779429219971,3.3741277522821918,2.880134484104844,3.663012212306129,4.659703114366145,0,0.0,0.7462437395659433,nan,30.7806715965271
ugv,scheduler,4,mixed,300.0,601,0.31823613349679125,0.7258143097345628,0.7227642711665951,2.4595960439874145,2.5635914048992836,21,0.0,0.7729549248747913,nan,32.74788427352905
ugv,none,5,mixed,300.0,601,1.6426035996499209,3.156710560389323,3.138637521738575,4.995952446603817,5.900049689756181,0,0.0,0.7045075125208681,nan,33.26370930671692
ugv,scheduler,5,mixed,300.0,601,0.4436469839878266,1.03377183194006,1.032461275964664,4.384711196365754,4.504627460945213,21,0.0,0.7278797996661102,nan,34.707823514938354
ugv,none,6,mixed,300.0,601,2.2280317273298924,4.353034680778855,4.3214127101140765,2.9561370004385594,5.235776329876686,0,0.0,0.7512520868113522,nan,31.735058546066284
ugv,scheduler,6,mixed,300.0,601,0.8763837221476111,1.8266761697388696,1.7980822365180078,2.1847489463144867,2.8295278206272827,19,0.0,0.7562604340567612,nan,32.26425862312317
ugv,none,7,mixed,300.0,601,0.06119180806136412,0.39848242276136187,0.30442672592061315,1.6532824227694307,1.6810765600926891,0,0.0,0.66110183639399,nan,32.02916741371155
ugv,scheduler,7,mixed,300.0,601,0.747710758956563,1.3178348235962745,1.2089447710612684,1.925111420014286,2.2732358960182353,20,0.0,0.6928213689482471,nan,33.10417103767395
