variant,seed,final_along_m,signed_final_along_m,final_total_m,markers,fixes,fixes_beyond_5m,mean_residual_cm,mean_residual_far_cm,sd_residual_far_cm,mean_sigma_far_cm,mean_gain_far,scale_est
none,0,0.15446031111963043,0.15446031111963043,0.6672930747966005,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
none,1,1.7204271438033807,1.7204271438033807,2.007516727002425,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
none,2,0.641160013394377,0.641160013394377,2.5248451795219156,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
none,3,7.856009920531562,7.856009920531562,8.247091247665246,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
none,4,-3.1684671344319,-3.1684671344319,3.5400904187737265,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
none,5,-3.1409617648294414,-3.1409617648294414,3.598622381704063,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
none,6,4.364836057060666,4.364836057060666,4.607481976713212,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
none,7,-0.5786304133615188,-0.5786304133615188,1.0369272017339206,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
real,0,-1.4736201130814768,-1.4736201130814768,1.9090359437668953,19,190,19,0.29400065544301823,-2.8045458359885678,1.9316568544031614,2.8397870093938153,0.3432193670088497,1.0043174483387503
real,1,-0.4639994591771757,-0.4639994591771757,0.7406322096274482,19,193,21,0.8178479946075661,-1.7301151920749849,2.736835236318707,2.662714064138815,0.4031090430588799,1.0085690489558994
real,2,-0.6288520102515782,-0.6288520102515782,2.757132884394908,20,202,22,0.6358651212533856,-2.1647546211433104,2.6562082210442832,2.759390348494893,0.36944276586390895,1.00807607162343
real,3,1.1653999643822925,1.1653999643822925,2.672972971370125,18,180,18,1.8571982905639903,-0.6789693783444958,1.8838731047660655,2.7166478580240963,0.364640124306092,1.0317185648897385
real,4,-1.9974707523813835,-1.9974707523813835,2.3626162550345073,20,208,28,-0.12420590103988326,-1.850973906480672,3.4498109260107377,2.673092141977491,0.3666064797982981,0.9959584589957918
real,5,-1.7593420334500163,-1.7593420334500163,2.3857773100136668,20,202,22,-0.20103676883648572,-2.6877881795515735,2.433443453622409,2.7586987789818664,0.3704455746285582,0.9963663611627654
real,6,-0.3102561887220367,-0.3102561887220367,0.48243039867768595,19,190,19,1.1391265788323701,-1.7595078055281128,1.7972067042526825,2.684342489191326,0.36401641046878835,1.0190982177133945
real,7,-1.1578715142455622,-1.1578715142455622,1.6520829515358173,18,180,18,0.24584102738845395,-2.591546578318675,1.56841735769597,2.7363598686203408,0.356555502341362,1.0039664192035782
corrected,0,-0.9216132062424673,-0.9216132062424673,1.4305502988133918,19,190,19,0.2603306536157421,-3.3921729184989218,2.1784962299279984,2.837447021709158,0.3429851169245006,1.003724250013497
corrected,1,-0.8558627276425114,-0.8558627276425114,0.9950562433632157,19,194,23,0.5748558405813471,-2.5503961886546302,5.258539400463513,2.6786917198153244,0.3659259387087014,1.0088117232769653
corrected,2,-0.9586412766797688,-0.9586412766797688,1.9184377998726254,20,202,22,0.4565690921364918,-3.0631142163207294,1.8530652407138026,2.783720597660776,0.36552484503421706,1.005522615840633
corrected,3,1.0695907938485538,1.0695907938485538,2.7111904089517402,19,190,19,1.472349392210532,-0.9381614360815799,1.5278946315174349,2.717377044092304,0.36099510921110695,1.0255401688659016
corrected,4,-1.6826418192356187,-1.6826418192356187,2.134240149086957,20,208,28,-0.2612769912745754,-2.3260767902050743,3.481068085160116,2.676815877247939,0.36522315742597705,0.9935755986876523
