platform,group,bin,n,threshold_old,threshold_new,degenerate_old,degenerate_new,blind_hit_old,blind_hit_new
ugv,distance,on it (<=1 m),9008,0.0018445884928346022,0.0020682746129766344,0.0003330373001776199,0.023756660746003553,,
ugv,distance,1-5 m,6912,0.0018445884928346022,0.0020682746129766344,0.11921296296296297,0.3129340277777778,,
ugv,distance,5-10 m,6616,0.0018445884928346022,0.0020682746129766344,0.5326481257557436,0.9055320435308344,,
ugv,distance,blind (>10 m),25384,0.0018445884928346022,0.0020682746129766344,0.5759533564450048,0.9431137724550899,,
ugv,angle,0 deg,5990,0.0018445884928346022,0.0020682746129766344,0.0017761989342806395,0.018650088809946713,0.7617396785376616,0.99180586196029
ugv,angle,11.25 deg,5990,0.0018445884928346022,0.0020682746129766344,0.0,0.021314387211367674,0.27923101166088876,0.848408446265364
ugv,angle,22.5 deg,5990,0.0018445884928346022,0.0020682746129766344,0.0,0.03019538188277087,0.8676331547431453,0.9902300661834226
ugv,angle,33.75 deg,5990,0.0018445884928346022,0.0020682746129766344,0.0008880994671403197,0.035523978685612786,0.8528206744405925,1.0
ugv,angle,45 deg,5990,0.0018445884928346022,0.0020682746129766344,0.0,0.023978685612788632,0.3731484399621809,0.9583989914907028
ugv,angle,56.25 deg,5990,0.0018445884928346022,0.0020682746129766344,0.0,0.027531083481349913,0.6769618657421999,0.9505200126063662
ugv,angle,67.5 deg,5990,0.0018445884928346022,0.0020682746129766344,0.0,0.02575488454706927,0.6901985502678852,0.9278285534194768
ugv,angle,78.75 deg,5990,0.0018445884928346022,0.0020682746129766344,0.0,0.007104795737122558,0.10589347620548377,0.8777182477150961
drone,distance,on it (<=1 m),9008,0.0028264114279125683,0.00288826280262942,0.12766429840142096,0.15064387211367672,,
drone,distance,1-5 m,6912,0.0028264114279125683,0.00288826280262942,0.2777777777777778,0.3263888888888889,,
drone,distance,5-10 m,6616,0.0028264114279125683,0.00288826280262942,0.5362756952841596,0.6151753325272068,,
drone,distance,blind (>10 m),25384,0.0028264114279125683,0.00288826280262942,0.8077135203277656,0.9110463283958399,,
drone,angle,0 deg,5990,0.0028264114279125683,0.00288826280262942,0.11101243339253997,0.13943161634103018,0.8194138039710054,0.9379136463914277
drone,angle,11.25 deg,5990,0.0028264114279125683,0.00288826280262942,0.12877442273534637,0.152753108348135,0.7982981405609832,0.9231011660888749
drone,angle,22.5 deg,5990,0.0028264114279125683,0.00288826280262942,0.1438721136767318,0.1625222024866785,0.8670028364323984,0.9536716041601009
drone,angle,33.75 deg,5990,0.0028264114279125683,0.00288826280262942,0.14209591474245115,0.16074600355239788,0.8496690828868578,0.9445319886542705
drone,angle,45 deg,5990,0.0028264114279125683,0.00288826280262942,0.1261101243339254,0.1438721136767318,0.826662464544595,0.9104947998739363
drone,angle,56.25 deg,5990,0.0028264114279125683,0.00288826280262942,0.1269982238010657,0.14209591474245115,0.7734005672864797,0.8723605420737472
drone,angle,67.5 deg,5990,0.0028264114279125683,0.00288826280262942,0.12877442273534637,0.15452930728241562,0.8222502363693666,0.9212102111566342
drone,angle,78.75 deg,5990,0.0028264114279125683,0.00288826280262942,0.11367673179396093,0.1492007104795737,0.7050110305704381,0.8250866687677277
