platform,policy,seed,world,path_length_m,steps,mean_abs_along_m,max_abs_along_m,final_along_m,final_lateral_m,final_total_m,markers,yaw_effort_rad,blind_fraction,glance_fraction,seconds
ugv,none,0,mixed,300.0,601,0.11252968938410296,0.25576330493015575,0.18646647868550909,3.061098800224386,3.0667728335187396,0,0.0,0.7328881469115192,nan,31.578665733337402
ugv,scheduler,0,mixed,300.0,601,0.6326412209357141,1.1839085890925864,1.0762458780813797,4.081388147835282,4.2209044532395605,19,0.0,0.7312186978297162,nan,42.602262020111084
ugv,none,1,mixed,300.0,601,0.7626725276020273,2.0854378675915712,1.5329205204219551,2.8688551598667456,3.2527181326123134,0,0.0,0.7078464106844741,nan,31.611749172210693
ugv,scheduler,1,mixed,300.0,601,0.7338716228305945,1.8552919963475965,1.5687586416197836,2.545207652500643,2.9898303747879513,19,0.0,0.7128547579298832,nan,43.22163701057434
ugv,none,2,mixed,300.0,601,0.3801490382811233,0.6254530041719932,0.6080816979875683,3.5130521607156897,3.5652908486316477,0,0.0,0.7128547579298832,nan,32.58364915847778
ugv,scheduler,2,mixed,300.0,601,0.8149130964843575,1.4516642951434804,1.4516642951434804,4.113189646334974,4.3618411585603925,20,0.0,0.7161936560934892,nan,44.3593807220459
ugv,none,3,mixed,300.0,601,4.2191547234295195,7.7372017720560375,7.683501036284696,4.3993107269088725,8.853819686806588,0,0.0,0.6427378964941569,nan,32.7012825012207
ugv,scheduler,3,mixed,300.0,601,1.5083697903193491,2.8543936649344697,2.8543936649344697,3.813723537149882,4.763617366270004,19,0.0,0.666110183639399,nan,47.02131652832031
ugv,none,4,mixed,300.0,601,1.716779429219971,3.3741277522821918,2.880134484104844,3.663012212306129,4.659703114366145,0,0.0,0.7462437395659433,nan,31.283021450042725
ugv,scheduler,4,mixed,300.0,601,0.4549011386294529,1.0184338913761533,1.0159246420161747,2.4651058651450906,2.666242637988596,21,0.0,0.7846410684474123,nan,39.91299247741699
ugv,none,5,mixed,300.0,601,1.6426035996499209,3.156710560389323,3.138637521738575,4.995952446603817,5.900049689756181,0,0.0,0.7045075125208681,nan,31.698715209960938
ugv,scheduler,5,mixed,300.0,601,0.4122575590361151,0.8293701082694034,0.694635298564466,7.5382008860818726,7.57013809629238,21,0.0,0.7061769616026711,nan,45.88423228263855
ugv,none,6,mixed,300.0,601,2.2280317273298924,4.353034680778855,4.3214127101140765,2.9561370004385594,5.235776329876686,0,0.0,0.7512520868113522,nan,31.55095386505127
ugv,scheduler,6,mixed,300.0,601,0.9998503231568299,2.1157539534541265,2.093779084463126,1.9612149403685655,2.8688455686669587,19,0.0,0.7529215358931552,nan,40.23897194862366
ugv,none,7,mixed,300.0,601,0.06119180806136412,0.39848242276136187,0.30442672592061315,1.6532824227694307,1.6810765600926891,0,0.0,0.66110183639399,nan,32.827598094940186
ugv,scheduler,7,mixed,300.0,601,0.747071039316591,1.5102832329884521,1.5045965011015818,2.9939545241382346,3.3507572761593543,21,0.0,0.6994991652754591,nan,38.87964653968811
