policy,seed,gicp_ratio_floor,markers_placed,final_drift_m,final_along_m,final_lateral_m,final_rot_rad,max_drift_m,drift_per_100m,path_length_m,landmark_steps
none,0,0.001880742349913549,0,1.238117917596093,0.9511835814557799,0.7925817132898295,0.011977008345755484,1.238117917596093,0.412705972532031,300.0,0
none,1,0.001880742349913549,0,2.7369232202299454,1.9857793304707343,1.8834620155737298,0.02005933007400199,2.7369232202299454,0.9123077400766484,300.0,0
none,2,0.001880742349913549,0,2.6013375813267072,0.851059085897873,2.45818136929181,0.016942059766555193,2.6013375813267072,0.8671125271089024,300.0,0
none,3,0.001880742349913549,0,11.69684529124184,11.53356147776185,1.947600936006721,0.04550819253375441,11.733455928570429,3.898948430413946,300.0,0
none,4,0.001880742349913549,0,4.192522101969669,3.947851290056576,1.4112801873132053,0.00827019494607075,4.192522101969669,1.397507367323223,300.0,0
none,5,0.001880742349913549,0,4.708246009283477,4.6677469735898285,0.6162131729172844,0.01871373152675157,4.737520417193853,1.5694153364278256,300.0,0
none,6,0.001880742349913549,0,6.509080318452821,6.225119691670045,1.9015812936742214,0.02902117677967427,6.509080318452821,2.169693439484274,300.0,0
none,7,0.001880742349913549,0,2.001102147744964,0.5573131116901209,1.9219292133811232,0.01238005796694657,2.001102147744964,0.6670340492483214,300.0,0
uniform_15m,0,0.001880742349913549,20,1.1491185148514587,0.7862211989364027,0.838051064981978,0.012475792257636587,1.1547991673948623,0.3830395049504862,300.0,200
uniform_15m,1,0.001880742349913549,20,1.6315143792484723,0.34019919151262457,1.5956514907048733,0.016948454549354557,1.6315143792484723,0.5438381264161575,300.0,200
uniform_15m,2,0.001880742349913549,20,1.5509603858132506,0.09114190514844722,1.5482801011082907,0.01657514423022694,1.5509603858132506,0.5169867952710835,300.0,200
uniform_15m,3,0.001880742349913549,20,7.070356133468563,7.02110314834141,0.8330944930959938,0.051112788915128195,7.137559095249192,2.3567853778228542,300.0,200
uniform_15m,4,0.001880742349913549,20,3.9085887349971786,3.4642651231534956,1.8099538822437276,0.013016372581447215,3.9392199047983016,1.3028629116657262,300.0,200
uniform_15m,5,0.001880742349913549,20,4.128075785631961,4.07496059885267,0.6600801540110354,0.02496051809646351,4.179164205235846,1.3760252618773203,300.0,200
uniform_15m,6,0.001880742349913549,20,3.343862015894148,3.0893855833670614,1.2794959549070242,0.03074041322612592,3.343862015894148,1.114620671964716,300.0,200
uniform_15m,7,0.001880742349913549,20,1.9719400162343195,0.9192920207946713,1.7445485399178373,0.010108291067914714,2.000551503734646,0.6573133387447732,300.0,200
