platform,policy,seed,world,path_length_m,steps,mean_abs_along_m,max_abs_along_m,final_along_m,final_lateral_m,final_total_m,markers,yaw_effort_rad,blind_fraction,glance_fraction,seconds
ugv,none,0,mixed,300.0,601,0.10671352799241463,0.4806142416097046,0.4113729452251672,3.144989992608717,3.171780218374561,0,0.0,0.7262103505843072,nan,32.797523021698
ugv,scheduler,0,mixed,300.0,601,0.3424873291769041,0.7562075217139059,0.7358110461931585,2.7443420961276104,2.8412728549504056,19,0.0,0.7412353923205343,nan,45.35153794288635
ugv,none,1,mixed,300.0,601,0.7626725276020273,2.0854378675915712,1.5329205204219551,2.8688551598667456,3.2527181326123134,0,0.0,0.7078464106844741,nan,35.09540414810181
ugv,scheduler,1,mixed,300.0,601,0.4671963634587562,1.1639730849527838,1.0626602407960002,2.6334687747355434,2.839789530031379,20,0.0,0.7161936560934892,nan,46.97069239616394
ugv,none,2,mixed,300.0,601,0.3801490382811233,0.6254530041719932,0.6080816979875683,3.5130521607156897,3.5652908486316477,0,0.0,0.7128547579298832,nan,34.73217225074768
ugv,scheduler,2,mixed,300.0,601,0.5068409382827915,0.9738753839114114,0.9714491975839283,4.276164470942828,4.385122133537467,20,0.0,0.7262103505843072,nan,50.02778959274292
ugv,none,3,mixed,300.0,601,4.2191547234295195,7.7372017720560375,7.683501036284696,4.3993107269088725,8.853819686806588,0,0.0,0.6427378964941569,nan,35.2290735244751
ugv,scheduler,3,mixed,300.0,601,1.3706788410182744,2.558325776355556,2.558325776355556,3.6710858250088743,4.474583993238518,18,0.0,0.674457429048414,nan,49.320796728134155
ugv,none,4,mixed,300.0,601,1.716779429219971,3.3741277522821918,2.880134484104844,3.663012212306129,4.659703114366145,0,0.0,0.7462437395659433,nan,34.70815682411194
ugv,scheduler,4,mixed,300.0,601,0.1750293769312243,0.4976250676771118,0.4942580253673001,2.6355741174438307,2.681518585462312,21,0.0,0.7779632721202003,nan,37.46849966049194
ugv,none,5,mixed,300.0,601,1.6426035996499209,3.156710560389323,3.138637521738575,4.995952446603817,5.900049689756181,0,0.0,0.7045075125208681,nan,32.88519549369812
ugv,scheduler,5,mixed,300.0,601,0.08998904700291821,0.2562712451080314,0.22293948140294603,7.272667424518061,7.276083663621134,21,0.0,0.7178631051752922,nan,46.23558783531189
ugv,none,6,mixed,300.0,601,2.2280317273298924,4.353034680778855,4.3214127101140765,2.9561370004385594,5.235776329876686,0,0.0,0.7512520868113522,nan,32.14118266105652
ugv,scheduler,6,mixed,300.0,601,0.9563281425160459,1.6721974891885816,1.6536718383418043,0.9973422140392422,1.9311452666305016,19,0.0,0.7595993322203672,nan,47.49210572242737
ugv,none,7,mixed,300.0,601,0.06119180806136412,0.39848242276136187,0.30442672592061315,1.6532824227694307,1.6810765600926891,0,0.0,0.66110183639399,nan,33.286839962005615
ugv,scheduler,7,mixed,300.0,601,0.4751462652999803,0.8591004726676952,0.6178770699951404,3.1617208580569596,3.2215292731710816,20,0.0,0.6928213689482471,nan,38.87950801849365
