policy,seed,world,gicp_ratio_floor,markers_placed,final_drift_m,final_along_m,final_lateral_m,final_rot_rad,max_drift_m,drift_per_100m,path_length_m,landmark_steps
none,0,blind,0.0018807423499072554,0,1.238117917596093,0.9511835814557799,0.7925817132898295,0.011977008345755484,1.238117917596093,0.412705972532031,300.0,0
none,1,blind,0.0018807423499072554,0,2.7369232202299454,1.9857793304707343,1.8834620155737298,0.02005933007400199,2.7369232202299454,0.9123077400766484,300.0,0
none,2,blind,0.0018807423499072554,0,2.6013375813267072,0.851059085897873,2.45818136929181,0.016942059766555193,2.6013375813267072,0.8671125271089024,300.0,0
none,3,blind,0.0018807423499072554,0,11.69684529124184,11.53356147776185,1.947600936006721,0.04550819253375441,11.733455928570429,3.898948430413946,300.0,0
none,4,blind,0.0018807423499072554,0,4.192522101969669,3.947851290056576,1.4112801873132053,0.00827019494607075,4.192522101969669,1.397507367323223,300.0,0
none,5,blind,0.0018807423499072554,0,4.708246009283477,4.6677469735898285,0.6162131729172844,0.01871373152675157,4.737520417193853,1.5694153364278256,300.0,0
none,6,blind,0.0018807423499072554,0,6.509080318452821,6.225119691670045,1.9015812936742214,0.02902117677967427,6.509080318452821,2.169693439484274,300.0,0
none,7,blind,0.0018807423499072554,0,2.001102147744964,0.5573131116901209,1.9219292133811232,0.01238005796694657,2.001102147744964,0.6670340492483214,300.0,0
uniform_15m,0,blind,0.0018807423499072554,20,0.5144916568426448,0.33272573818544515,0.3924222828913266,0.00739873759716264,0.5144916568426448,0.17149721894754824,300.0,200
uniform_15m,1,blind,0.0018807423499072554,20,1.8265934781705355,1.1675312510342337,1.4047471346664395,0.016909780921007804,1.8265934781705355,0.6088644927235118,300.0,200
uniform_15m,2,blind,0.0018807423499072554,20,0.7745169189639831,0.15811085766733868,0.7582067095780409,0.017328193425104287,0.7745169189639831,0.2581723063213277,300.0,200
uniform_15m,3,blind,0.0018807423499072554,21,8.861204975552681,8.71385288394373,1.6092611769831249,0.06835640240412975,8.892934127925068,2.9537349918508937,300.0,210
uniform_15m,4,blind,0.0018807423499072554,20,4.2583923774886365,3.890450683438189,1.7315597363038469,0.011903123562239383,4.2583923774886365,1.4194641258295455,300.0,200
uniform_15m,5,blind,0.0018807423499072554,20,4.521500654278491,4.4899897030259694,0.5328795674086078,0.019817897158888372,4.573603656186346,1.507166884759497,300.0,200
uniform_15m,6,blind,0.0018807423499072554,20,5.654638011178246,5.283850271071117,2.013915924353237,0.02990471292086669,5.660447741393198,1.8848793370594152,300.0,200
uniform_15m,7,blind,0.0018807423499072554,20,2.0433593277750512,1.213235011977929,1.6441952889228897,0.02670974184670703,2.0433593277750512,0.681119775925017,300.0,200
uniform_8m,0,blind,0.0018807423499072554,37,0.7818331231852026,0.13697752732866775,0.7697403390211872,0.010738565870924116,0.7818331231852026,0.2606110410617342,300.0,368
uniform_8m,1,blind,0.0018807423499072554,38,1.8112592073730747,1.2988844969069646,1.262362459830171,0.017770805477689274,1.8112592073730747,0.6037530691243582,300.0,373
uniform_8m,2,blind,0.0018807423499072554,37,0.8378584825678866,0.06826749283646905,0.8350726832035547,0.018919554261616026,0.8378584825678866,0.27928616085596225,300.0,370
uniform_8m,3,blind,0.0018807423499072554,38,9.248361752383154,9.117756048021874,1.5487800850037219,0.0657649753299663,9.287310406208292,3.0827872507943845,300.0,377
uniform_8m,4,blind,0.0018807423499072554,36,4.075682031419821,3.7936887258883303,1.4896677053310177,0.01034935068689899,4.085412143137692,1.3585606771399403,300.0,355
uniform_8m,5,blind,0.0018807423499072554,36,4.430043586830166,4.425363163190866,0.20358549822718824,0.01964770697844488,4.481778127485968,1.4766811956100554,300.0,355
uniform_8m,6,blind,0.0018807423499072554,38,5.58744781479278,5.114507065600094,2.249753444037664,0.030198589257465328,5.588488302539192,1.8624826049309267,300.0,377
uniform_8m,7,blind,0.0018807423499072554,36,2.22350380250229,1.8607356188079507,1.217223117033823,0.02788738126673447,2.22350380250229,0.74116793416743,300.0,359
on_failure,0,blind,0.0018807423499072554,64,0.9757421881605931,0.8067927345499584,0.5487789183576777,0.020145102446001796,1.4922948627680803,0.32524739605353103,300.0,640
on_failure,1,blind,0.0018807423499072554,64,2.2835348693879274,1.1446419224221245,1.9759368332880283,0.01458176947865326,2.285082825952207,0.7611782897959758,300.0,640
on_failure,2,blind,0.0018807423499072554,26,1.9110558993412534,1.8539159728924233,0.46382131889483713,0.026485453863112376,2.3208640323280245,0.6370186331137511,300.0,248
on_failure,3,blind,0.0018807423499072554,27,9.722690463995301,9.54130194464409,1.8692958727275018,0.08125842452493874,9.805314250122743,3.240896821331767,300.0,265
on_failure,4,blind,0.0018807423499072554,54,3.9901254327706215,3.8614272795748548,1.0052265087024304,0.022993103331900522,4.011330785421912,1.3300418109235406,300.0,528
on_failure,5,blind,0.0018807423499072554,60,3.978116550262805,3.9735092202506053,0.1914047127378682,0.03646294352504372,3.9980079141799636,1.3260388500876017,300.0,595
on_failure,6,blind,0.0018807423499072554,64,2.39423590963214,0.9164994172501224,2.2118757671153744,0.028321977049450026,2.39423590963214,0.7980786365440466,300.0,640
on_failure,7,blind,0.0018807423499072554,29,3.179994226554163,2.9893482672856635,1.0845092059517127,0.02878665932239638,3.1802830033003073,1.0599980755180545,300.0,276
scheduler,0,blind,0.0018807423499072554,61,3.4459568813006096,3.412395501508115,0.47976636925716615,0.008601461320412828,3.4577362203571584,1.14865229376687,300.0,610
scheduler,1,blind,0.0018807423499072554,62,2.461048158514476,1.8967598756573807,1.5681390284740995,0.01638707479924297,2.461048158514476,0.820349386171492,300.0,620
scheduler,2,blind,0.0018807423499072554,64,2.857245434868227,2.0069167665249665,2.0337493865558502,0.022207683056220714,2.857245434868227,0.9524151449560757,300.0,640
scheduler,3,blind,0.0018807423499072554,53,3.1374509285511016,2.599201953948409,1.7571987740881632,0.051742354203940355,3.1394590825306796,1.0458169761837006,300.0,530
scheduler,4,blind,0.0018807423499072554,56,4.344103937420062,4.201208016180885,1.1050295126764527,0.008652110512608882,4.361279593839607,1.4480346458066873,300.0,560
scheduler,5,blind,0.0018807423499072554,56,3.7952746713331478,3.77176220832672,0.4218052568440518,0.021593833654541917,3.8148911516868744,1.2650915571110493,300.0,560
scheduler,6,blind,0.0018807423499072554,56,1.7693946662788538,0.6647690896028848,1.6397681368305117,0.030050791366259745,1.7693946662788538,0.5897982220929512,300.0,560
scheduler,7,blind,0.0018807423499072554,64,3.029397628525311,2.6474765039234853,1.4724531071948797,0.0085578887903895,3.029397628525311,1.009799209508437,300.0,640
oracle_12,0,blind,0.0018807423499072554,12,0.7389994926080228,0.037584621540588614,0.7380431195388016,0.01101374149489646,0.7389994926080228,0.24633316420267423,300.0,120
oracle_12,1,blind,0.0018807423499072554,12,2.6378774608420126,1.8849013681614792,1.8454116968094916,0.020140226723959802,2.6378774608420126,0.8792924869473375,300.0,120
oracle_12,2,blind,0.0018807423499072554,12,2.259373911531069,0.8173172941426969,2.1063624837151043,0.012658513393235139,2.259373911531069,0.7531246371770229,300.0,120
oracle_12,3,blind,0.0018807423499072554,12,11.406565548492951,11.199341845729293,2.1643659197471807,0.046111526533351994,11.44460816045484,3.802188516164317,300.0,120
oracle_12,4,blind,0.0018807423499072554,12,4.18068211010439,3.9305537219796065,1.4243771777093166,0.007497369661824913,4.1946087051104115,1.3935607033681299,300.0,120
oracle_12,5,blind,0.0018807423499072554,12,4.7138720801710905,4.689211436364701,0.4815455256598418,0.01976808776063261,4.746691543255932,1.5712906933903634,300.0,120
oracle_12,6,blind,0.0018807423499072554,12,5.295951475930387,5.084527152163844,1.4814471554253557,0.027226285022556296,5.307649333326351,1.7653171586434624,300.0,120
oracle_12,7,blind,0.0018807423499072554,12,2.0469369554365,0.4894159232579227,1.9875670941111,0.01226640615829394,2.0469369554365,0.6823123184788332,300.0,120
oracle_24,0,blind,0.0018807423499072554,24,0.8438670145895891,0.2992341262080913,0.7890313530049525,0.011014954316785721,0.8438670145895891,0.28128900486319636,300.0,240
oracle_24,1,blind,0.0018807423499072554,24,2.174607059346817,1.6216686483396643,1.4488294094037493,0.018913324924544207,2.174607059346817,0.7248690197822725,300.0,240
oracle_24,2,blind,0.0018807423499072554,24,1.8484127541602957,0.06536583742047242,1.847256619162798,0.01678283210760959,1.8484127541602957,0.6161375847200985,300.0,240
oracle_24,3,blind,0.0018807423499072554,24,11.349698913546584,11.140117987404267,2.1710450605347686,0.048131260670571704,11.402693067762423,3.7832329711821946,300.0,240
oracle_24,4,blind,0.0018807423499072554,24,4.10089042560729,3.8197447166806455,1.4922642467833347,0.009824835917648073,4.1105845186551955,1.3669634752024298,300.0,240
oracle_24,5,blind,0.0018807423499072554,24,4.1425407301925405,4.109024471441501,0.5258912381843239,0.020500456095032493,4.1841862103252065,1.3808469100641803,300.0,240
oracle_24,6,blind,0.0018807423499072554,24,5.697690949171113,5.501206090857579,1.4833791484910013,0.02896257692703069,5.697690949171113,1.8992303163903708,300.0,240
oracle_24,7,blind,0.0018807423499072554,24,2.1956355834296555,0.5045057631286909,2.1368878188132436,0.011195952954156525,2.198509647224119,0.7318785278098852,300.0,240
